"","author","paper_title","publication_year","aim_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"11","Mukerji","Educational and Psychological Issues Predictors of low diabetes risk perception in a multi-ethnic cohort of women with gestational diabetes mellitus",2016,"to determine what proportion of women with gestational diabetes underestimate their diabetes risk and identify factors associated with low diabetes risk perception.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"4-point likert scale",NA,NA,NA,NA,"‘what do you think your
chance of getting diabetes over the next 10 years is?",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pregnancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: diabetes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","McKelvey","Adolescent Cigarette Smoking Perceptions and Behavior: Tobacco Control Gains and Gaps Amidst the Rapidly Expanding Tobacco Products Market From 2001 to 2015",2017,"the aim of the study was to determine whether adolescents’ intentions to smoke, cigarette smoking behavior, and specific perceptions of cigarette smoking are different in 2015 versus 2001.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"0% - 100%",NA,NA,NA,NA,"participants read the following text: whether or not
you have used any of these products, imagine that you just began
using cigarettes. you use it about 2 to 3 times a day, every day.
sometimes you use it alone and sometimes you use it with friends. if
you use cigarettes 2 to 3 times each day, what is the chance that.
followed by several social and health short-term and long-term
risks and benefits",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes ; health","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2, social risks, long-term health risks (lung cancer and heart attack) were significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,"usa",NA,NA,NA,NA,282,NA,NA,NA,NA,0.6,NA,NA,NA,NA,"14.1",NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Stuijfzand","Young children have social worries too:  validation of a brief parent report measure of social worries in children aged 4–8 years",2017,"this study investigated the psychometric properties of the social worries anxiety index for young children (swaiy), adapted from the social worries questionnaire—parent version (swq-p; spence, 1995), as a measure of social anxiety in young children.",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"3-point likert scale",NA,NA,NA,NA,"parents are asked how much his or her child avoids or worries about particular social situations. for example “he or she avoids or gets worried about going to parties”.  total score is computed by summing
all responses (min = 0, max = 20). higher scores indicate more social worries.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: social anxiety","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"r= 0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"children",NA,NA,NA,NA,"united kingdom",NA,NA,NA,NA,106,NA,NA,NA,NA,0.991,NA,NA,NA,NA,"6.25",NA,NA,NA,NA,1.29,NA,NA,NA,NA,3.92,NA,NA,NA,NA,8.92,NA,NA,NA,NA
"14","Baucum","The Dynamics of Risk Perception for Soft Target Terrorism",2018,"the purpose of this investigation was to examine how individuals’ risk perceptions regarding soft-target terrorism formed over time, as a function of 1) highly publicized terror attacks, and 2) cognitive, affective, and behavior facets of risk perception.","panel data from united states and canada","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5- point scale: very low risk, low risk, moderate risk, high risk, very high risk",NA,NA,NA,NA,"2 question",NA,NA,NA,NA,"6",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terror attacks",NA,NA,NA,NA,4,NA,NA,NA,NA,"other: terrorism","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"β=0.334",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"the united states and canada",NA,NA,NA,NA,496,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Schaefer","Accuracy of HIV Risk Perception in East Zimbabwe 2003–2013",2018,"we investigate the degree to which hiv risk perception is accurate, i.e. corresponds to actual hiv infection risks, in a general-population open-cohort study in zimbabwe (2003–2013) including 7201 individuals over 31,326 person-years.","http://www.manicalandhivproject.org/data.html","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"yes, no, don't know",NA,NA,NA,NA,"“do you think you could become infected with hiv yourself in the future?”",NA,NA,NA,NA,"6",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: hiv","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"among males (n = 3553), 13.0% (95% confidence interval [ci] = 11.9–14.1%) perceived 
a risk of hiv infection, and 47.5% (46.4–48.7%) among 
females (n =7221), with declines over time observed for 
both sexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"zimbabwe",NA,NA,NA,NA,7201,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Calderón-Larrañaga","Psychological correlates of multimorbidity and disability accumulation in older adults",2019,"we aimed to explore whether different psychological factors were associated with the rate of chronic disease and disability accumulation over time.",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"our of the six original perceptual subscales of the questionnaire are assessed in snac-k health outlook (i.e. perceptions of future health), resistance to illness (i.e. sense of susceptibility or resistance to illness), sickness orientation (i.e. tendency to accept sickness as a part of life) and health worry (i.e. amount of health-related worry or concern).",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Gravesande","Test-retest reliability, internal consistency, construct validity and factor structure of a falls risk perception questionnaire in older adults with type 2 diabetes mellitus: a prospective cohort study",2019,"the purpose of this study was to determine the test-retest reliability, internal consistency, construct validity and to perform factor analysis of a new falls risk perception questionnaire (rpq) in older community-dwelling adults with dm2.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert scale",NA,NA,NA,NA,"the rpq consists of 20 items in 5 subscales: risk-
perception of falling, risk factors, internal/external factors, individual perceptions and self-efficacy.",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: questionnaire validation","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"icc = 0.78 (in person), 0.82 (by phone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 days
6 weeks
2 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"older adults with the 2 diabetes mellitus",NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"canada",NA,NA,NA,NA,30,NA,NA,NA,NA,0.6,NA,NA,NA,NA,"68.6",NA,NA,NA,NA,6.9,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Youngkin","Continuous Glucose Monitoring Decreases Hypoglycemia Avoidance Behaviors, but Not Worry in Parents of Youth With New Onset Type 1 Diabetes",2020,"our objectives were to examine parental fear of hypoglycemia (hf) levels and their rate of  continuous glucose monitors (cgm) adoption over the recent-onset period and to investigate if the timing of cgm adoption affects parental hf.",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"15 items. 
subscale of the hypoglycemia fear survey-parents",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"child with type 1 diabetes (t1d)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: diabetes","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"increased significantly t1-t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"parents",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,128,NA,NA,NA,NA,0.79,NA,NA,NA,NA,"36.8",NA,NA,NA,NA,6.4,NA,NA,NA,NA,24,NA,NA,NA,NA,54,NA,NA,NA,NA
"19","Baucum","Modeling affective and cognitive responses to soft‑target terrorism over time.",2021,"this study aimed to more clearly disentangle the various emotional and cognitive facets that predict 
individuals’ response to the terrorism threat in the united states.","knowledgepanel®  https://www.ipsos.com/en-us/solutions/public-affairs/knowledgepanel","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"five-point scale: “very low risk,” “low risk,” “moderate risk,” “high risk,” “very high risk.”",NA,NA,NA,NA,"2 items",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terror attacks",NA,NA,NA,NA,12,NA,NA,NA,NA,"other: terrorism","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.44",NA,NA,NA,NA,"0.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,1052,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Franceschinis","Heterogeneity in flood risk awareness: A longitudinal, latent class model approach",2021,"this study explores the interplay between attitudes and behaviours related to flood risk awareness and structural flood protection in two communities in the eastern italian alps, and how they changed over time.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"flood risk awareness: perceived threat posed by flood events relative to (a) the town, (b) the home, and (c) one’s physical integrity. specifically, participants were asked “to what extend do you think flood events are a threat to your town/home/yourself?”.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural catastrophe; other: floods","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Schulz","Using Ecological Momentary Assessment to Study the
Development of COVID-19 Worries in Sweden: Longitudinal Study",2021,"the general aim of this study was to better understand the worried reactions to the virus and the associated lockdown
measures",NA,"longitudinal","worry",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"11-point likert scale",NA,NA,NA,NA,"single worry item that included five combined specific worries about the coronavirus",NA,NA,NA,NA,"28",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"level of worry increased between the end of march and the beginning of may",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"sweden",NA,NA,NA,NA,262,NA,NA,NA,NA,0.76,NA,NA,NA,NA,"49.6",NA,NA,NA,NA,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Martins","Relationships between worry and depressive symptoms during two group therapies for generalized anxiety disorder",2022,"this study aimed to investigate the longitudinal relationship of two symptoms relevant to the disorder 
(worry and depressive symptoms) in the context of a randomized clinical trial (rct) by using a cross-lagged panel model (clpm) analysi","data available upon request","longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"the penn state worry questionnaire (pswq24) 
is a 
16-item 
self-report questionnaire aimed at assessing 
generalized pathological worries.",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,"therapy",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: generalized anxiety disorder","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Ochel","Determinants of Adoption and Rejection of Protective Measures During the SARS-CoV-2 Pandemic: A Longitudinal Study in Germany’s Second Wave",2022,"we analyzed longitudinal data (n = 800) to investigate whether trust and risk were relevant predictors for pandemic measures at a later stage (october 2020/january 2021).","https://doi.org/10.17605/osf.io/e2y5p","longitudinal","risk","risk","risk",NA,NA,"scale","scale","scale",NA,NA,"7-point likert scale","7-point likert scale","5-point likert scale",NA,NA,"8 items. 
cognitive risk: 
cognitive risk perceptions were assessed as perceived susceptibility to and probabil­
ity of an infection with sars-cov-2, and as the perceived severity of covid-19 for 
oneself. each was assessed with one item (7-point scales, with higher values indicating 
higher perceived risk)","affective risk:
affective risk was assessed with two items, measuring how fright­
ening and worrying the coronavirus was perceived to be. a mean score was computed 
(cronbach’s α = .87), with higher scores showing a higher perceived affective risk.","risk attitude toward health and safety issues was assessed using the safety and health items of 
the dospert scale",NA,NA,"2",2,2,NA,NA,"single","single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: trust in politics","yes","yes","no",NA,NA,"mean difference","mean difference",NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,"none of the cognitive risk 
perceptions (i.e., perceived severity, susceptibility, and probability) changed over time (ps > .05)","affective risk increased over time, with the coronavirus being seen as more frightening and worrisome at t2 than at t1, t(638) = 4.431, p < .001, m = 0.24, sd = 1.36, 
95% ci [.133, .344",NA,NA,NA,NA,NA,NA,NA,NA,"3 months","3 months",NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,"adults","adults",NA,NA,NA,"germany","germany",NA,NA,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Yamane","Hospital-Based Healthcare Worker Perceptions of
Personal Risk Related to COVID-19: One Year Follow-Up",2022,"the objective of this study is to examine stress, burnout, and risk perception in an academic medical system, 1 year after the start of the pandemic.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"surveyed about about their perceived risk of contracting covid-19 and workplace stress",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: occupational","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2; for almost all survey questions related to the perception of covid-19 risk to self or family, the rate of hcw perceiving risk was much lower during the 2021 (t2) survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Kuk","The Effect of Perceptions of Hookah Harmfulness and Addictiveness on the Age of Initiation of Hookah Use among Population Assessment of Tobacco and Health (PATH) Youth",2022,"in this study, we conducted secondary data analysis of u.s.a. youth never hookah users (12–17 years old at their first wave of participation in path), prospectively estimating the impact of perceptions of hookah harmfulness and addictiveness on the age of initiation or first report of three outcomes: (i) ever, (ii) past 30-day, and (iii) fairly regular hookah use.","data available upon request","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"4-point likert scale: “no harm”, “a little harm”, “some harm”, “a lot of harm”, “don’t know”, and “refused”.",NA,NA,NA,NA,"perceptions of hookah harmfulness and addictiveness:  “how much do you think people harm themselves
when they smoke hookah?”; “how likely is someone to become addicted to shisha or hookah tobacco?”",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes ; other: tabacco","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Mertens","Fear of COVID-19 predicts vaccination willingness 14 months later",2022,"in the current study, we examined whether fear of covid-19 predicts vaccination willingness","https://osf.io/ryndg/","longitudinal","worry","risk",NA,NA,NA,"scale","single item",NA,NA,NA,"5-point likert scale","5-point likert scale",NA,NA,NA,"the penn state worry ques­tionnaire (pswq) was used to measure participants’ tendency to worry.","risk perception for the participants’ loved ones was assessed with the following questions: 
“overall, i believe that people that i care about (e.g., grandparents) are 
at risk of becoming infected and seriously ill due to the coronavirus outbreak:”",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: fear and vaccination","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Wagoner","Exposure to e-cigarette health claims and association with e-cigarette use and risk perceptions: A cohort study of young adults",2022,"our study assessed consumers’ exposure to such claims and evaluated their impact on relative risk perceptions and e-cigarette use.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"to assess relative risk perceptions of e-cigarettes compared to ciga­rettes, we asked all participants at each wave, ‘compared to cigarettes, e- cigarettes or other vaping devices are…’ “much less harmful,” “a little less harmful,” “as harmful,” “a little more harmful,” or “much more harm­ful.”",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Grazioli","Risk Perception Related to COVID-19 and Future Affective Responses Among Healthcare Workers in Switzerland: A Mixed-Methods Longitudinal Study",2022,"this study proposes a mixed evaluation of covid-19-related risk perception and affective responses among healthcare workers",NA,"longitudinal","risk","worry",NA,NA,NA,"questionnaire","questionnaire",NA,NA,NA,NA,NA,NA,NA,NA,"participants were asked to indicate their perceptions of exposure to covid-19 and concerns for infection, transmission and protective measure effectiveness.","worry to contract covid-19 and consequences",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant","not significant",NA,NA,NA,"baseline - 6-month follow up (not significant)","baseline - 6-month follow up (not significant)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months","6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
